species,size,motility,feeding,tiering
Streblochondria_filosa,medium,nonmotile_attached,herbivore,epifaunal
Stutchburia_costata,medium,nonmotile_attached,herbivore,semi_infaunal
Stutchburia_sp,small,nonmotile_attached,herbivore,semi_infaunal
Stutchburia_tschernyschewi,medium,nonmotile_attached,herbivore,semi_infaunal
Tambanella_stetteneckensis,medium,nonmotile_attached,herbivore,epifaunal
Towapteria_peracuta,small,nonmotile_attached,herbivore,epifaunal
Unionites_jacobi,medium,facultative,herbivore,shallow_infaunal
Vacunella_elongata,medium,facultative,herbivore,deep_infaunal
Volsellina_carinata,small,nonmotile_attached,herbivore,epifaunal
Baylea_sequens,small,slow_moving,carnivore,epifaunal
Bellerophon_cadoricus,medium,slow_moving,omnivore,epifaunal
Bellerophon_canevai,medium,slow_moving,omnivore,epifaunal
Bellerophon_carnicus,medium,slow_moving,omnivore,epifaunal
Bellerophon_comelicanus,medium,slow_moving,omnivore,epifaunal
Bellerophon_fallax,medium,slow_moving,omnivore,epifaunal
Bellerophon_guembeli,medium,slow_moving,omnivore,epifaunal
Bellerophon_cf_hiulcus,medium,slow_moving,omnivore,epifaunal
Bellerophon_italicus,medium,slow_moving,omnivore,epifaunal
Bellerophon_jacobi,medium,slow_moving,omnivore,epifaunal
Bellerophon_mojsvari,medium,slow_moving,omnivore,epifaunal
Bellerophon_peregrinus,medium,slow_moving,omnivore,epifaunal
Bellerophon_sextensis,medium,slow_moving,omnivore,epifaunal
Bellerophon_cf_triangularis,medium,slow_moving,omnivore,epifaunal
Bellerophon_tommasii,medium,slow_moving,omnivore,epifaunal
Bellerophon_ulrici,medium,slow_moving,omnivore,epifaunal
Bellerophon_vigilii,medium,slow_moving,omnivore,epifaunal
Dicosmos_cf_fastigata,medium,slow_moving,herbivore,epifaunal
Loxonema_cf_gracile,small,slow_moving,omnivore,epifaunal
Loxonema_cf_volgense,medium,slow_moving,omnivore,epifaunal
Loxonema_tortile,small,slow_moving,omnivore,epifaunal
Margarites_prisca,small,slow_moving,herbivore,epifaunal
Margarites_cf_laevigata,medium,slow_moving,herbivore,epifaunal
Murchisonia_mazzaroti,small,slow_moving,herbivore,shallow_infaunal
Murchisonia_tramontana,medium,slow_moving,herbivore,shallow_infaunal
Naticopsis_cadorica,small,slow_moving,herbivore,epifaunal
Naticopsis_comelicana,small,slow_moving,herbivore,epifaunal
Naticopsis_depressa,medium,slow_moving,herbivore,epifaunal
Naticopsis_pusiuncula,small,slow_moving,herbivore,epifaunal
Naticopsis_intermedia,medium,slow_moving,herbivore,epifaunal
Naticopsis_operculifera,medium,slow_moving,herbivore,epifaunal
Naticopsis_ovulum,medium,slow_moving,herbivore,epifaunal
Naticopsis_plavensis,medium,slow_moving,herbivore,epifaunal
Naticopsis_solitaria,medium,slow_moving,herbivore,epifaunal
Naticopsis_elongata,medium,slow_moving,herbivore,epifaunal
Omphalotrochus_taylorianus,small,slow_moving,herbivore,epifaunal
Pleurotomariida_indet,small,slow_moving,carnivore,epifaunal
Promathildia_biseriaetuberculata,small,slow_moving,herbivore,epifaunal
Soleniscus_sp,medium,slow_moving,carnivore,epifaunal
Stachella_bifrons,medium,slow_moving,omnivore,epifaunal
Stachella_janus,medium,slow_moving,omnivore,epifaunal
Stachella_pseudohelix,medium,slow_moving,omnivore,epifaunal
Trachydomia_aff_stabilei,medium,slow_moving,herbivore,epifaunal
Trachydomia_ambigua,medium,slow_moving,herbivore,epifaunal
Microdoma_anomala,small,slow_moving,omnivore,epifaunal
Turbonellina_montiscrucis,small,slow_moving,herbivore,epifaunal
Vernelia_permica,medium,slow_moving,herbivore,epifaunal
Worthenia_inhornata,small,slow_moving,carnivore,epifaunal
Worthenia_radialis,small,slow_moving,carnivore,epifaunal
Zygopleura_bachmutensis,small,slow_moving,carnivore,epifaunal
Brachycycloceras_dieneri,medium,fast_moving,carnivore,benthopelagic
Foordiceras_dolomiticum,medium,fast_moving,carnivore,benthopelagic
Germanonautilus_sp,medium,fast_moving,carnivore,benthopelagic
Liroceras_gardenense,medium,fast_moving,carnivore,benthopelagic
Liroceras_sp,large,fast_moving,carnivore,benthopelagic
Metacoceras_inaequiseptum,medium,fast_moving,carnivore,benthopelagic
Paralecanites_sextensis,medium,fast_moving,carnivore,benthopelagic
Paralecanites_sp_indet,medium,fast_moving,carnivore,benthopelagic
Paratirolites_sp,medium,fast_moving,carnivore,benthopelagic
Peripetoceras_comploji,large,fast_moving,carnivore,benthopelagic
Peripetoceras_gigas,large,fast_moving,carnivore,benthopelagic
Peripetoceras_wanneri,medium,fast_moving,carnivore,benthopelagic
Tainionautilus_fugax,medium,fast_moving,carnivore,benthopelagic
Tainoceras_balestense,medium,fast_moving,carnivore,benthopelagic
Tainoceras_malsineri,medium,fast_moving,carnivore,benthopelagic
Tainoceras_sp,medium,fast_moving,carnivore,benthopelagic
Tirolonautilus_crux,medium,fast_moving,carnivore,benthopelagic
Tirolonautilus_sebedinus,medium,fast_moving,carnivore,benthopelagic
Tirolonautilus_darini,medium,fast_moving,carnivore,benthopelagic
Acrodus_sp_A,large,fast_moving,carnivore,benthopelagic
Acrodus_sp_B,large,fast_moving,carnivore,benthopelagic
Bobasatrania_antiqua,medium,fast_moving,carnivore,benthopelagic
Bobasatrania_ladina,medium,fast_moving,carnivore,benthopelagic
Archaeocidaris_ladina,medium,slow_moving,omnivore,epifaunal
Ceratiocaris_cf_solenoides,medium,fast_moving,herbivore,epifaunal
Chaenocaris_aff_tenuistriata,medium,fast_moving,herbivore,epifaunal
Arqoviella_dolomitica,tiny,slow_moving,herbivore,epifaunal
Rectobairdia_kershawi,tiny,slow_moving,herbivore,epifaunal
Bairdia_cf_subcontracta,tiny,slow_moving,herbivore,epifaunal
Bairdia_cheni,tiny,slow_moving,herbivore,epifaunal
Bairdia_deweveri,tiny,slow_moving,herbivore,epifaunal
Bairdia_hassi,tiny,slow_moving,herbivore,epifaunal
Bairdia_ortiseiensis,tiny,slow_moving,herbivore,epifaunal
Bairdia_permagna,tiny,slow_moving,herbivore,epifaunal
Bairdiacypris_fornicata,tiny,slow_moving,herbivore,epifaunal
Bairdiacypris_wangi,tiny,slow_moving,herbivore,epifaunal
Bairdiacypris_caeca,tiny,slow_moving,herbivore,epifaunal
Basslerella_annesophieae,tiny,slow_moving,herbivore,epifaunal
Callicythere_seisensis,tiny,slow_moving,herbivore,epifaunal
Cavellina_alpina,tiny,slow_moving,herbivore,epifaunal
Cavellina_bellerophonella,tiny,slow_moving,herbivore,epifaunal
Cavellina_visnyoensis,tiny,slow_moving,herbivore,epifaunal
cf_Shleesha_pinguis,tiny,slow_moving,herbivore,epifaunal
Cypridina_crassa,small,slow_moving,herbivore,epifaunal
Cypridinella_bellerophontium,small,slow_moving,herbivore,epifaunal
Cryptobairdia_bellerophonella,tiny,slow_moving,herbivore,epifaunal
Cryptobairdia_postilonga,tiny,slow_moving,herbivore,epifaunal
Fabalicypris_cf_visnyoensis,tiny,slow_moving,herbivore,epifaunal
Geffenina_sp_1,tiny,slow_moving,herbivore,epifaunal
Glyptopleurina_pasinii,tiny,slow_moving,herbivore,epifaunal
Indivisia_sp_1,tiny,slow_moving,herbivore,epifaunal
Indivisia_sp_2,tiny,slow_moving,herbivore,epifaunal
Judahella_binodata,tiny,slow_moving,herbivore,epifaunal
Kempfina_qinglaii,tiny,slow_moving,herbivore,epifaunal
Kempfina_sp_2,tiny,slow_moving,herbivore,epifaunal
Kempfina_tergilata,tiny,slow_moving,herbivore,epifaunal
Kirkbya_cf_buekkensis,tiny,slow_moving,herbivore,epifaunal
Knightina_bullaensis,tiny,slow_moving,herbivore,epifaunal
Macrocypris_sp_1,tiny,slow_moving,herbivore,epifaunal
Microcheilinella_lata,tiny,slow_moving,herbivore,epifaunal
Microcheilinella_peraxilis,tiny,slow_moving,herbivore,epifaunal
Neoulrichia_pulchra,tiny,slow_moving,herbivore,epifaunal
Parabythocythere_sp_1,tiny,slow_moving,herbivore,epifaunal
Parabythocythere_chongpani,tiny,slow_moving,herbivore,epifaunal
Parahollinella_visnyoensis,tiny,slow_moving,herbivore,epifaunal
Paramacrocypris_schallreuteri,tiny,slow_moving,herbivore,epifaunal
Paraparchites_sp_1,tiny,slow_moving,herbivore,epifaunal
Petasobairdia_nantongensis,tiny,slow_moving,herbivore,epifaunal
Pseudacanthoscapha_striatula,tiny,slow_moving,herbivore,epifaunal
Sargentina_n_sp_A,tiny,slow_moving,herbivore,epifaunal
Sulcella_suprapermiana,tiny,slow_moving,herbivore,epifaunal
Atyhris_royssii,medium,nonmotile_attached,herbivore,epifaunal
Atyhris_planosulcata,medium,nonmotile_attached,herbivore,epifaunal
Comelicania_haueri,medium,nonmotile_attached,herbivore,epifaunal
Comelicania_megalotis,medium,nonmotile_attached,herbivore,epifaunal
Comelicania_merlai,medium,nonmotile_attached,herbivore,epifaunal
Comelicothyris_laterosulcata,medium,nonmotile_attached,herbivore,epifaunal
Comelicothyris_recticardinis,medium,nonmotile_attached,herbivore,epifaunal
Dielasma_cf_plica,medium,nonmotile_attached,herbivore,epifaunal
Dielasma_pentagonum,medium,nonmotile_attached,herbivore,epifaunal
Dielasma_cf_truncatum,small,nonmotile_attached,herbivore,epifaunal
Hemiptychina_sublaevis,medium,nonmotile_attached,herbivore,epifaunal
Hemiptychina_orientalis,medium,nonmotile_attached,herbivore,epifaunal
Janiceps_bipartita,medium,nonmotile_attached,herbivore,epifaunal
Janiceps_cadorica,medium,nonmotile_attached,herbivore,epifaunal
Janiceps_papilio,medium,nonmotile_attached,herbivore,epifaunal
Janiceps_peracuta,medium,nonmotile_attached,herbivore,epifaunal
Janiceps_impar,medium,nonmotile_attached,herbivore,epifaunal
Martinia_gibbosa,medium,nonmotile_attached,herbivore,epifaunal
Martinia_gigantea,medium,nonmotile_attached,herbivore,epifaunal
Martinia_glabra,medium,nonmotile_attached,herbivore,epifaunal
Martinia_trigona,medium,nonmotile_attached,herbivore,epifaunal
Notothyris_nucleola_baroghilensis,medium,nonmotile_attached,herbivore,epifaunal
Ombonia_tirolensis,medium,nonmotile_attached,herbivore,epifaunal
Orthothetina_ladina,medium,nonmotile_attached,herbivore,epifaunal
Productus_abichi,medium,nonmotile_attached,herbivore,epifaunal
Productus_sp,small,nonmotile_attached,herbivore,epifaunal
Reticularia_cf_lineata,medium,nonmotile_attached,herbivore,epifaunal
Septospirigerella,medium,nonmotile_attached,herbivore,epifaunal
Spinomarginifera_sp,medium,nonmotile_attached,herbivore,epifaunal
Spirifer_cf_duplicosta,medium,nonmotile_attached,herbivore,epifaunal
Spirifer_cf_supracarbonicus,medium,nonmotile_attached,herbivore,epifaunal
Spiriferellina_cristata,medium,nonmotile_attached,herbivore,epifaunal
Spiriferellina_taramellii,medium,nonmotile_attached,herbivore,epifaunal
Spirigera_faba,small,nonmotile_attached,herbivore,epifaunal
Spirigerellinae_gen_et_sp_indet,medium,nonmotile_attached,herbivore,epifaunal
Trentingula_prinothi,small,nonmotile_attached,herbivore,shallow_infaunal
Bryozoa_indet,tiny,nonmotile_attached,herbivore,epifaunal
Microconchida_sp_indet,tiny,nonmotile_attached,herbivore,epifaunal
Agathammina_elongata,tiny,nonmotile_unattached,herbivore,epifaunal
Agathammina_pusilla,small,nonmotile_unattached,herbivore,epifaunal
Agathammina_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Aulacophloia_cf_martiniae,tiny,nonmotile_unattached,herbivore,epifaunal
Baisalina_pulchra,tiny,nonmotile_unattached,herbivore,epifaunal
Calcitornella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Calvezina_ottomana,tiny,nonmotile_unattached,herbivore,epifaunal
Charliella_cf_altineri,tiny,nonmotile_unattached,herbivore,epifaunal
Charliella_dolomitica,tiny,nonmotile_unattached,herbivore,epifaunal
Colaniella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Cryptomorphina_limonitica,tiny,nonmotile_unattached,herbivore,epifaunal
Cryptoseptida_anatoliensis,tiny,nonmotile_unattached,herbivore,epifaunal
Dagmarita_chanakchiensis,tiny,nonmotile_unattached,herbivore,epifaunal
Earlandia_tintinniformis,tiny,nonmotile_unattached,herbivore,epifaunal
Frondinodosaria_cf_semivelata,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_cf_spandeli,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_postcarbonica,small,nonmotile_unattached,herbivore,epifaunal
Geinitzina_sp_2,tiny,nonmotile_unattached,herbivore,epifaunal
Geinitzina_taurica,tiny,nonmotile_unattached,herbivore,epifaunal
Globivalvulina_bulloides,tiny,nonmotile_unattached,herbivore,epifaunal
Globivalvulina_cyprica,tiny,nonmotile_unattached,herbivore,epifaunal
Globivalvulina_graeca,tiny,nonmotile_unattached,herbivore,epifaunal
Globivalvulina_vonderschmitti,small,nonmotile_unattached,herbivore,epifaunal
Globogaetania_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Glomomidiella_cf_infrapermica,tiny,nonmotile_unattached,herbivore,epifaunal
Hayasakaina_cf_paraminor,tiny,nonmotile_unattached,herbivore,epifaunal
Hemigordiella_elegans,tiny,nonmotile_unattached,herbivore,epifaunal
Hemigordius_baoqingensis,tiny,nonmotile_unattached,herbivore,epifaunal
Hemigordius_minima,tiny,nonmotile_unattached,herbivore,epifaunal
Hemigordius_sp_2,tiny,nonmotile_unattached,herbivore,epifaunal
Hoyenella_annulata,tiny,nonmotile_unattached,herbivore,epifaunal
Hoyenella_farsani,tiny,nonmotile_unattached,herbivore,epifaunal
Hoyenella_paucispira,tiny,nonmotile_unattached,herbivore,epifaunal
Hoyenella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Labioglobivalvulina_fortis,tiny,nonmotile_unattached,herbivore,epifaunal
Langella_cukurkoyi,tiny,nonmotile_unattached,herbivore,epifaunal
Langella_ocarina,tiny,nonmotile_unattached,herbivore,epifaunal
Langella_perforata,tiny,nonmotile_unattached,herbivore,epifaunal
Midiella_arpaensis,tiny,nonmotile_unattached,herbivore,epifaunal
Multidiscella_langei,tiny,nonmotile_unattached,herbivore,epifaunal
Multidiscella_transitional_to_Multidiscus_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Multidiscella_zaninettiae,tiny,nonmotile_unattached,herbivore,epifaunal
Multidiscella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Neodiscopsis_cf_rotundus,tiny,nonmotile_unattached,herbivore,epifaunal
Neodiscopsis_giganteus,tiny,nonmotile_unattached,herbivore,epifaunal
Neoendothyra_bronnimanni,tiny,nonmotile_unattached,herbivore,epifaunal
Neogeinitzina_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Nestellorella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosaria_camerata,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_cf_camerata,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_cf_longa,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_mirabilis_caucasica,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_ex_gr_netschajewi,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_potievskayae,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_sp_2,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_sp_3,tiny,nonmotile_unattached,herbivore,epifaunal
Nodosinelloides_sp_indet,tiny,nonmotile_unattached,herbivore,epifaunal
Orthovertellopsis_sp,small,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_cf_multiseptata,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_cf_ovata,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_cukurkoyi,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_schwageri,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyphloia_sp_3,tiny,nonmotile_unattached,herbivore,epifaunal
cf_Pachyphloia_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Pachyploia_cf_elegans,tiny,nonmotile_unattached,herbivore,epifaunal
Palaeonubecularia_cf_marginata,small,nonmotile_unattached,herbivore,epifaunal
Paraglobivalvulina_septulifera,tiny,nonmotile_unattached,herbivore,epifaunal
Planiinvoluta_carinata,tiny,nonmotile_unattached,herbivore,epifaunal
Planiinvoluta_ex_gr_carinata,small,nonmotile_unattached,herbivore,epifaunal
Planiinvoluta_cf_mesotriasica,tiny,nonmotile_unattached,herbivore,epifaunal
Polarisella_cf_skyphica,tiny,nonmotile_unattached,herbivore,epifaunal
Postcladella_cf_grandis,tiny,nonmotile_unattached,herbivore,epifaunal
Postcladella_giacobbei,tiny,nonmotile_unattached,herbivore,epifaunal
Postcladella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
cf_Postcladella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Praeneodiscus_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Praerectoglandulina_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Praetriadodiscus_cf_tappanae,tiny,nonmotile_unattached,herbivore,epifaunal
Protonodosaria_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudoendothyra_sp,small,nonmotile_unattached,herbivore,epifaunal
Pseudolangella_dorashamensis,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudolangella_fragilis,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudolangella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudomidiella_cf_labensis,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudomidiella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudomidiella_sp_2,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudomidiella_sp_3,tiny,nonmotile_unattached,herbivore,epifaunal
cf_Pseudomidiella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudospira_sp_2,tiny,nonmotile_unattached,herbivore,epifaunal
Pseudospira_specialisaeformis,tiny,nonmotile_unattached,herbivore,epifaunal
Rectostipulina_hexamerata,tiny,nonmotile_unattached,herbivore,epifaunal
Rectostipulina_pentamerata,tiny,nonmotile_unattached,herbivore,epifaunal
Reichelina_cribroseptata,tiny,nonmotile_unattached,herbivore,epifaunal
Reichelina_cf_minuta,tiny,nonmotile_unattached,herbivore,epifaunal
Sichotenella_sp,tiny,nonmotile_unattached,herbivore,epifaunal
Staffella_sp,small,nonmotile_unattached,herbivore,epifaunal
Bituberitina_sp,tiny,nonmotile_attached,herbivore,epifaunal
Eotuberitina_reitlingerae,tiny,nonmotile_attached,herbivore,epifaunal
Eotubespina_spinosa,tiny,nonmotile_attached,herbivore,epifaunal
Floritheca_variata,tiny,nonmotile_attached,herbivore,epifaunal
Planolites_isp,small,slow_moving,herbivore,shallow_infaunal
Diplocraterion_isp,small,fast_moving,herbivore,deep_infaunal
Rhizocorallium_isp_B,tiny,facultative,herbivore,shallow_infaunal
Zoophycos_isp,medium,slow_moving,herbivore,deep_infaunal
Palaeophycus_isp,small,facultative,herbivore,shallow_infaunal
